GeoFips,GeoName,Income
55001,Adams WI,23235
55003,Ashland WI,23851
55005,Barron WI,26786
55007,Bayfield WI,24939
55009,Brown WI,32181
55011,Buffalo WI,29340
55013,Burnett WI,23578
55015,Calumet WI,29285
55017,Chippewa WI,28331
55019,Clark WI,22935
55021,Columbia WI,31836
55023,Crawford WI,22561
55025,Dane WI,37763
55027,Dodge WI,26868
55029,Door WI,31301
55031,Douglas WI,24351
55033,Dunn WI,24902
55035,Eau Claire WI,28053
55037,Florence WI,27475
55039,Fond du Lac WI,29799
55041,Forest WI,21912
55043,Grant WI,25015
55045,Green WI,29894
55047,Green Lake WI,28903
55049,Iowa WI,30356
55051,Iron WI,26686
55053,Jackson WI,24393
55055,Jefferson WI,30479
55057,Juneau WI,23869
55059,Kenosha WI,29714
55061,Kewaunee WI,26877
55063,La Crosse WI,28825
55065,Lafayette WI,23568
55067,Langlade WI,24475
55069,Lincoln WI,26492
55071,Manitowoc WI,28602
55073,Marathon WI,30171
55075,Marinette WI,25718
55077,Marquette WI,23652
55078,Menominee WI*,17983
55079,Milwaukee WI,30934
55081,Monroe WI,23699
55083,Oconto WI,25857
55085,Oneida WI,29862
55087,Outagamie WI,32765
55089,Ozaukee WI,49792
55091,Pepin WI,26757
55093,Pierce WI,29152
55095,Polk WI,26285
55097,Portage WI,28165
55099,Price WI,26509
55101,Racine WI,31721
55103,Richland WI,24118
55105,Rock WI,28222
55107,Rusk WI,21596
55109,St. Croix WI,31708
55111,Sauk WI,30579
55113,Sawyer WI,26228
55115,Shawano WI*,24298
55117,Sheboygan WI,31547
55119,Taylor WI,24016
55121,Trempealeau WI,28117
55123,Vernon WI,22192
55125,Vilas WI,28836
55127,Walworth WI,29180
55129,Washburn WI,25103
55131,Washington WI,36567
55133,Waukesha WI,44065
55135,Waupaca WI,28457
55137,Waushara WI,22250
55139,Winnebago WI,30327
55141,Wood WI,29197
