GeoFips,GeoName,Income
55001,Adams WI,44696
55003,Ashland WI,46014
55005,Barron WI,58029
55007,Bayfield WI,52963
55009,Brown WI,62519
55011,Buffalo WI,55319
55013,Burnett WI,48081
55015,Calumet WI,58999
55017,Chippewa WI,54474
55019,Clark WI,51365
55021,Columbia WI,61542
55023,Crawford WI,50741
55025,Dane WI,73726
55027,Dodge WI,52398
55029,Door WI,71130
55031,Douglas WI,49469
55033,Dunn WI,49324
55035,Eau Claire WI,57320
55037,Florence WI,62285
55039,Fond du Lac WI,58204
55041,Forest WI,45248
55043,Grant WI,52264
55045,Green WI,61416
55047,Green Lake WI,51819
55049,Iowa WI,58797
55051,Iron WI,53626
55053,Jackson WI,50097
55055,Jefferson WI,55023
55057,Juneau WI,46696
55059,Kenosha WI,58255
55061,Kewaunee WI,57770
55063,La Crosse WI,60463
55065,Lafayette WI,52048
55067,Langlade WI,50852
55069,Lincoln WI,53038
55071,Manitowoc WI,54592
55073,Marathon WI,59949
55075,Marinette WI,52260
55077,Marquette WI,49041
55078,Menominee WI*,41435
55079,Milwaukee WI,56188
55081,Monroe WI,50008
55083,Oconto WI,53823
55085,Oneida WI,56013
55087,Outagamie WI,60352
55089,Ozaukee WI,99817
55091,Pepin WI,60146
55093,Pierce WI,58338
55095,Polk WI,54302
55097,Portage WI,54375
55099,Price WI,51846
55101,Racine WI,57574
55103,Richland WI,51382
55105,Rock WI,52517
55107,Rusk WI,52712
55111,Sauk WI,62052
55113,Sawyer WI,50990
55115,Shawano WI*,50444
55117,Sheboygan WI,60359
55109,St. Croix WI,67477
55119,Taylor WI,50045
55121,Trempealeau WI,51281
55123,Vernon WI,50622
55125,Vilas WI,59807
55127,Walworth WI,62828
55129,Washburn WI,55362
55131,Washington WI,68705
55133,Waukesha WI,87582
55135,Waupaca WI,54632
55137,Waushara WI,46697
55139,Winnebago WI,56878
55141,Wood WI,53162
54001,Barbour WV,40399
54003,Berkeley WV,52264
54005,Boone WV,41275
54007,Braxton WV,40079
54009,Brooke WV,50324
54011,Cabell WV,51125
54013,Calhoun WV,40741
54015,Clay WV,38450
54017,Doddridge WV,39087
54019,Fayette WV,44814
54021,Gilmer WV,35411
54023,Grant WV,46333
54025,Greenbrier WV,47304
54027,Hampshire WV,46303
54029,Hancock WV,50824
54031,Hardy WV,43795
54033,Harrison WV,59058
54035,Jackson WV,45467
54037,Jefferson WV,63434
54039,Kanawha WV,57174
54041,Lewis WV,43632
54043,Lincoln WV,36763
54045,Logan WV,42308
54047,McDowell WV,34283
54049,Marion WV,48998
54051,Marshall WV,48766
54053,Mason WV,42115
54055,Mercer WV,44763
54057,Mineral WV,48818
54059,Mingo WV,36646
54061,Monongalia WV,55218
54063,Monroe WV,40382
54065,Morgan WV,45105
54067,Nicholas WV,40599
54069,Ohio WV,66701
54071,Pendleton WV,54365
54073,Pleasants WV,49208
54075,Pocahontas WV,50751
54077,Preston WV,42407
54079,Putnam WV,55827
54081,Raleigh WV,48285
54083,Randolph WV,45636
54085,Ritchie WV,54852
54087,Roane WV,39056
54089,Summers WV,43026
54091,Taylor WV,49161
54093,Tucker WV,55157
54095,Tyler WV,56445
54097,Upshur WV,41230
54099,Wayne WV,41922
54101,Webster WV,32597
54103,Wetzel WV,45280
54105,Wirt WV,39663
54107,Wood WV,58325
54109,Wyoming WV,35181
51001,Accomack VA,54153
51901,Albemarle VA*,91201
51510,Alexandria (Independent City) VA,105239
51903,Alleghany VA*,46250
51007,Amelia VA,52977
51009,Amherst VA,44723
51011,Appomattox VA,45951
51013,Arlington VA,112313
51907,Augusta VA*,52910
51017,Bath VA,74728
51019,Bedford VA*,54837
51021,Bland VA,42629
51023,Botetourt VA,59504
51953,Bristol VA*,46706
51025,Brunswick VA,41082
51027,Buchanan VA,45289
51029,Buckingham VA,37877
51945,Buena Vista VA*,48356
51911,Campbell VA*,45413
51033,Caroline VA,51500
51913,Carroll VA*,44770
51036,Charles City VA,57151
51037,Charlotte VA,45263
51901,Charlottesville VA*,91201
51550,Chesapeake (Independent City) VA,58478
51041,Chesterfield VA,64035
51043,Clarke VA,77961
51918,Colonial Heights VA*,45870
51903,Covington VA*,46250
51045,Craig VA,47392
51047,Culpeper VA,55962
51049,Cumberland VA,46446
51939,Danville VA*,44986
51051,Dickenson VA,41038
51918,Dinwiddie VA*,45870
51923,Emporia VA*,39233
51057,Essex VA,51690
51919,Fairfax VA*,101400
51919,Fairfax City VA*,101400
51919,Falls Church VA*,101400
51061,Fauquier VA,82872
51063,Floyd VA,48912
51065,Fluvanna VA,53333
51067,Franklin VA,52577
51949,Franklin VA*,50266
51921,Frederick VA*,62259
51951,Fredericksburg VA*,62617
51913,Galax VA*,44770
51071,Giles VA,49522
51073,Gloucester VA,57498
51075,Goochland VA,116296
51077,Grayson VA,38942
51079,Greene VA,51629
51923,Greensville VA*,39233
51083,Halifax VA,44509
51650,Hampton (Independent City) VA,48525
51085,Hanover VA,72302
51947,Harrisonburg VA*,51466
51087,Henrico VA,76976
51929,Henry VA*,47455
51091,Highland VA,50481
51941,Hopewell VA*,39733
51093,Isle of Wight VA,63847
51931,James City VA*,75891
51097,King and Queen VA,55304
51099,King George VA,64018
51101,King William VA,54612
51103,Lancaster VA,72524
51105,Lee VA,38552
51945,Lexington VA*,48356
51107,Loudoun VA,96862
51109,Louisa VA,50730
51111,Lunenburg VA,38986
51911,Lynchburg VA*,45413
51113,Madison VA,56535
51942,Manassas VA*,63701
51942,Manassas Park VA*,63701
51929,Martinsville VA*,47455
51115,Mathews VA,67870
51117,Mecklenburg VA,45526
51119,Middlesex VA,60298
